classifier,In taxon,Group,ratio,sample,dataset
rspc_1-step,224413,C,0.036529614213298776,S54,strain
rspc_1-step,238649,C,0.03815853326074148,S55,strain
rspc_1-step,269677,C,0.041988215828182705,S56,strain
rspc_1-step,196967,C,0.03251876415917647,S57,strain
rspc_1-step,196779,C,0.03321196507713239,S58,strain
rspc_1-step,304455,C,0.048076209449342606,S59,strain
rspc_1-step,188528,C,0.031161472619579886,S6,strain
rspc_1-step,297542,C,0.048341872254447395,S60,strain
rspc_1-step,230089,C,0.050641199740993424,S61,strain
rspc_1-step,237036,C,0.0417207164171959,S62,strain
rspc_1-step,206179,C,0.03271380218795438,S63,strain
rspc_1-step,293443,C,0.04701636439232563,S64,strain
rspc_1-step,174540,C,0.03468336968787948,S65,strain
rspc_1-step,257351,C,0.0406493059712785,S66,strain
rspc_1-step,262714,C,0.04134953796281825,S67,strain
rspc_1-step,239691,C,0.03734666957099733,S68,strain
rspc_1-step,298612,C,0.051008801141485316,S69,strain
rspc_1-step,253389,C,0.04500310630820332,S7,strain
rspc_1-step,278822,C,0.045312802684490464,S70,strain
rspc_1-step,227169,C,0.03625768945073277,S71,strain
rspc_1-step,193542,C,0.03558817147753559,S72,strain
rspc_1-step,225652,C,0.03496722500609384,S73,strain
rspc_1-step,288447,C,0.04542413783003117,S74,strain
rspc_1-step,290003,C,0.04635088825763539,S75,strain
rspc_1-step,209949,C,0.03270447089926897,S76,strain
rspc_1-step,265939,C,0.0421140596307175,S77,strain
rspc_1-step,300856,C,0.04680080087896949,S78,strain
rspc_1-step,224586,C,0.035580685739272054,S79,strain
rspc_1-step,228802,C,0.039018455670527495,S8,strain
rspc_1-step,266873,C,0.04104418101807557,S80,strain
rspc_1-step,126557,C,0.019969839399615646,S81,strain
rspc_1-step,241620,C,0.038626802927848355,S82,strain
rspc_1-step,245273,C,0.04223758111997879,S83,strain
rspc_1-step,313693,C,0.051201198431840574,S84,strain
rspc_1-step,308023,C,0.052849870904955576,S85,strain
rspc_1-step,255635,C,0.04047608303427725,S86,strain
rspc_1-step,239508,C,0.03890719749364794,S87,strain
rspc_1-step,284721,C,0.04520579982404857,S88,strain
rspc_1-step,281899,C,0.0460208928084876,S89,strain
rspc_1-step,266029,C,0.04267411788899715,S9,strain
rspc_1-step,236012,C,0.03705053781772753,S90,strain
rspc_1-step,288272,C,0.04395084345637512,S91,strain
rspc_1-step,308411,C,0.05225964934754867,S92,strain
rspc_1-step,196222,C,0.0342290022858642,S93,strain
rspc_1-step,248428,C,0.04273899225107601,S94,strain
rspc_1-step,240565,C,0.03878509848672578,S95,strain
rspc_1-step,312655,C,0.05122142258120059,S96,strain
rspc_1-step,287098,C,0.04408013889562745,S97,strain
rspc_1-step,252684,C,0.04219509898024002,S98,strain
rspc_1-step,243775,C,0.0382137698113178,S99,strain
rspc_1-step,399187,D,0.06505087969024866,S0,strain
rspc_1-step,296790,D,0.05695074879901446,S1,strain
rspc_1-step,362567,D,0.05738575697056662,S10,strain
rspc_1-step,479244,D,0.07826996149902612,S11,strain
rspc_1-step,412396,D,0.06419944738746657,S12,strain
rspc_1-step,402606,D,0.06510101016634305,S13,strain
rspc_1-step,410042,D,0.06497269049705355,S14,strain
rspc_1-step,352096,D,0.05893791696204311,S15,strain
rspc_1-step,355731,D,0.05551396662429745,S16,strain
rspc_1-step,366856,D,0.06315385376812405,S17,strain
rspc_1-step,370716,D,0.06187082490093919,S18,strain
rspc_1-step,349263,D,0.057820357140196524,S19,strain
rspc_1-step,517463,D,0.08484620423408733,S2,strain
rspc_1-step,393133,D,0.06258821873693535,S20,strain
rspc_1-step,445578,D,0.06798332373392735,S21,strain
rspc_1-step,350328,D,0.05784956517216012,S22,strain
rspc_1-step,568425,D,0.09371480594189047,S23,strain
rspc_1-step,386775,D,0.060810084183702345,S24,strain
rspc_1-step,335003,D,0.06354247852520556,S25,strain
rspc_1-step,394149,D,0.06629709077569054,S26,strain
rspc_1-step,359031,D,0.059037790131707034,S27,strain
rspc_1-step,370161,D,0.057746092601918084,S28,strain
rspc_1-step,409861,D,0.06578795514821675,S29,strain
rspc_1-step,405837,D,0.06266279957051023,S3,strain
rspc_1-step,395156,D,0.06251038132731024,S30,strain
rspc_1-step,372194,D,0.057961819644265666,S31,strain
rspc_1-step,571700,D,0.0894034753665824,S32,strain
rspc_1-step,380598,D,0.05819041238352301,S33,strain
rspc_1-step,360447,D,0.06208797152456048,S34,strain
rspc_1-step,356240,D,0.05768440135998133,S35,strain
rspc_1-step,383289,D,0.06078519342473418,S36,strain
rspc_1-step,441194,D,0.07089473033845624,S37,strain
rspc_1-step,342510,D,0.05726488810182386,S38,strain
rspc_1-step,391551,D,0.06099805049762629,S39,strain
rspc_1-step,352348,D,0.05877487020163056,S4,strain
rspc_1-step,466354,D,0.07481125699640072,S40,strain
rspc_1-step,443906,D,0.07280842867133877,S41,strain
rspc_1-step,618876,D,0.10019380619930518,S42,strain
rspc_1-step,413039,D,0.0641938065819637,S43,strain
rspc_1-step,354799,D,0.06054380710019772,S44,strain
rspc_1-step,451451,D,0.07064800563993462,S45,strain
rspc_1-step,368635,D,0.057196031412938324,S46,strain
rspc_1-step,383866,D,0.0614235033635507,S47,strain
rspc_1-step,382898,D,0.05986907538930347,S48,strain
rspc_1-step,332070,D,0.06697542822463583,S49,strain
rspc_1-step,379479,D,0.061471271160165576,S5,strain
rspc_1-step,383963,D,0.059598531065080264,S50,strain
rspc_1-step,428769,D,0.06998189609809664,S51,strain
rspc_1-step,375972,D,0.06077712902700694,S52,strain
rspc_1-step,362305,D,0.05747708127064637,S53,strain
rspc_1-step,345100,D,0.05617486449095822,S54,strain
rspc_1-step,401746,D,0.06423675818197372,S55,strain
rspc_1-step,380291,D,0.05921061338384597,S56,strain
rspc_1-step,332233,D,0.05485084594320711,S57,strain
rspc_1-step,348013,D,0.05873693637221489,S58,strain
rspc_1-step,413842,D,0.06534941016220737,S59,strain
rspc_1-step,434885,D,0.07188140233899473,S6,strain
rspc_1-step,388953,D,0.06319348609266617,S60,strain
rspc_1-step,330517,D,0.07274479620839729,S61,strain
rspc_1-step,348052,D,0.061260647287491636,S62,strain
rspc_1-step,278880,D,0.04424905133004194,S63,strain
rspc_1-step,392573,D,0.0628992861257159,S64,strain
rspc_1-step,299235,D,0.059461889128867976,S65,strain
rspc_1-step,384978,D,0.06080834546673941,S66,strain
rspc_1-step,421725,D,0.06637687331992025,S67,strain
rspc_1-step,366529,D,0.057109517884226274,S68,strain
rspc_1-step,399862,D,0.068304291997765,S69,strain
rspc_1-step,348283,D,0.06185673756295647,S7,strain
rspc_1-step,377452,D,0.061341673178107514,S70,strain
rspc_1-step,361065,D,0.05762838521774022,S71,strain
rspc_1-step,322596,D,0.059318399964695366,S72,strain
rspc_1-step,381657,D,0.05914189191387958,S73,strain
rspc_1-step,408672,D,0.06435696420928108,S74,strain
rspc_1-step,397439,D,0.06352227624619866,S75,strain
rspc_1-step,570701,D,0.08890003880315553,S76,strain
rspc_1-step,350647,D,0.05552840563938422,S77,strain
rspc_1-step,407962,D,0.06346208261821652,S78,strain
rspc_1-step,358840,D,0.05685026346557837,S79,strain
rspc_1-step,333176,D,0.056817741918705554,S8,strain
rspc_1-step,488354,D,0.07510722319942922,S80,strain
rspc_1-step,233819,D,0.0368950581838913,S81,strain
rspc_1-step,374938,D,0.059939807284834064,S82,strain
rspc_1-step,367014,D,0.06320216084594674,S83,strain
rspc_1-step,418841,D,0.06836353107143142,S84,strain
rspc_1-step,459445,D,0.07883050596198113,S85,strain
rspc_1-step,383994,D,0.060799863198170274,S86,strain
rspc_1-step,379161,D,0.06159331591800293,S87,strain
rspc_1-step,431702,D,0.06854230701508289,S88,strain
rspc_1-step,375485,D,0.06129909980594101,S89,strain
rspc_1-step,367500,D,0.058951235858520884,S9,strain
rspc_1-step,421185,D,0.06612007343168809,S90,strain
rspc_1-step,444635,D,0.06779043153766356,S91,strain
rspc_1-step,405351,D,0.06868594545161555,S92,strain
rspc_1-step,358509,D,0.06253837684104173,S93,strain
rspc_1-step,352575,D,0.06065620700131678,S94,strain
rspc_1-step,369674,D,0.05960070042600489,S95,strain
rspc_1-step,406762,D,0.06663871773032357,S96,strain
rspc_1-step,406534,D,0.062417972907491556,S97,strain
rspc_1-step,350455,D,0.05852164526887344,S98,strain
rspc_1-step,380793,D,0.059692487120341045,S99,strain
rspc_1-step,2336281,F,0.380716642209325,S0,strain
rspc_1-step,1221894,F,0.23446806918367524,S1,strain
rspc_1-step,1395129,F,0.2208158319333796,S10,strain
rspc_1-step,2242780,F,0.3662900406698588,S11,strain
rspc_1-step,2150860,F,0.33483356629988253,S12,strain
rspc_1-step,2268855,F,0.3668717118496949,S13,strain
rspc_1-step,1679998,F,0.2662019746505699,S14,strain
rspc_1-step,1457272,F,0.24393510896775453,S15,strain
rspc_1-step,1479731,F,0.23092094123632267,S16,strain
rspc_1-step,1674906,F,0.28833321139453516,S17,strain
rspc_1-step,2596058,F,0.4332703469790416,S18,strain
rspc_1-step,1251254,F,0.2071446249763057,S19,strain
rspc_1-step,1591309,F,0.2609201593419071,S2,strain
rspc_1-step,1522614,F,0.24240574585170943,S20,strain
rspc_1-step,3118665,F,0.47582513569491436,S21,strain
rspc_1-step,2386502,F,0.39408241129024935,S22,strain
rspc_1-step,991138,F,0.16340643942759983,S23,strain
rspc_1-step,2106819,F,0.331241266239606,S24,strain
rspc_1-step,918412,F,0.17420194681030046,S25,strain
rspc_1-step,1495717,F,0.2515842631181191,S26,strain
rspc_1-step,1548102,F,0.25456442752429714,S27,strain
rspc_1-step,1378679,F,0.21507756139171827,S28,strain
rspc_1-step,2392250,F,0.3839868533559464,S29,strain
rspc_1-step,2156455,F,0.3329649771899177,S3,strain
rspc_1-step,1990457,F,0.31487368554599693,S30,strain
rspc_1-step,1542016,F,0.24013835064663042,S31,strain
rspc_1-step,1790757,F,0.28004180398291934,S32,strain
rspc_1-step,1738243,F,0.2657635536518116,S33,strain
rspc_1-step,1095821,F,0.18875813377283038,S34,strain
rspc_1-step,1448568,F,0.23456034670229464,S35,strain
rspc_1-step,2212610,F,0.3508943038373162,S36,strain
rspc_1-step,1449699,F,0.2329497220654172,S37,strain
rspc_1-step,1315154,F,0.21988305931700114,S38,strain
rspc_1-step,2233639,F,0.3479690372785857,S39,strain
rspc_1-step,1405219,F,0.23440338622573448,S4,strain
rspc_1-step,1744128,F,0.2797883325598545,S40,strain
rspc_1-step,1967249,F,0.32266360106703335,S41,strain
rspc_1-step,1303938,F,0.21110288857203963,S42,strain
rspc_1-step,1853294,F,0.28803574620196604,S43,strain
rspc_1-step,1485392,F,0.2534710828276768,S44,strain
rspc_1-step,3288316,F,0.514591765914545,S45,strain
rspc_1-step,1434500,F,0.2225716686203427,S46,strain
rspc_1-step,2127125,F,0.34036739276776995,S47,strain
rspc_1-step,1276985,F,0.19966652015944114,S48,strain
rspc_1-step,1378294,F,0.2779890711881417,S49,strain
rspc_1-step,2179444,F,0.3530450778630594,S5,strain
rspc_1-step,2265620,F,0.35166832208225046,S50,strain
rspc_1-step,1488005,F,0.24286599848274548,S51,strain
rspc_1-step,1831424,F,0.29605580402571774,S52,strain
rspc_1-step,1337140,F,0.2121276395584717,S53,strain
rspc_1-step,1425091,F,0.23197419244359357,S54,strain
rspc_1-step,1275250,F,0.2039047703562997,S55,strain
rspc_1-step,2100473,F,0.3270398056388584,S56,strain
rspc_1-step,887304,F,0.14649169410862692,S57,strain
rspc_1-step,1207777,F,0.20384618046114536,S58,strain
rspc_1-step,2241530,F,0.35395794375846984,S59,strain
rspc_1-step,968284,F,0.16004601626271583,S6,strain
rspc_1-step,2480832,F,0.4030626386484773,S60,strain
rspc_1-step,1459090,F,0.3211368997652478,S61,strain
rspc_1-step,1533156,F,0.26985085261024655,S62,strain
rspc_1-step,1395003,F,0.22134093284768538,S63,strain
rspc_1-step,2072110,F,0.33200000961338955,S64,strain
rspc_1-step,885659,F,0.17599197040447837,S65,strain
rspc_1-step,1886706,F,0.29801045836949136,S66,strain
rspc_1-step,1551573,F,0.24420787116630174,S67,strain
rspc_1-step,1803709,F,0.2810390211782421,S68,strain
rspc_1-step,2342885,F,0.4002108256278007,S69,strain
rspc_1-step,1888978,F,0.33549158703754817,S7,strain
rspc_1-step,2304215,F,0.3744698755393878,S70,strain
rspc_1-step,1354457,F,0.21618038236014225,S71,strain
rspc_1-step,1071249,F,0.1969794313747844,S72,strain
rspc_1-step,1323541,F,0.2050970341578645,S73,strain
rspc_1-step,2553171,F,0.40206898115646383,S74,strain
rspc_1-step,2164714,F,0.34598406472946464,S75,strain
rspc_1-step,1283051,F,0.19986522484878685,S76,strain
rspc_1-step,1533027,F,0.2427699227774037,S77,strain
rspc_1-step,2318672,F,0.36068985353671507,S78,strain
rspc_1-step,1355823,F,0.21480017490438877,S79,strain
rspc_1-step,1337582,F,0.22810283114962066,S8,strain
rspc_1-step,2320600,F,0.35690057244661755,S80,strain
rspc_1-step,793222,F,0.12516507145588093,S81,strain
rspc_1-step,1286247,F,0.20562705647519314,S82,strain
rspc_1-step,1674546,F,0.2883675435703726,S83,strain
rspc_1-step,2517953,F,0.410982110519037,S84,strain
rspc_1-step,2303437,F,0.3952183703414945,S85,strain
rspc_1-step,1479657,F,0.23428215852387024,S86,strain
rspc_1-step,1470321,F,0.23884826196226405,S87,strain
rspc_1-step,1978989,F,0.314208578180022,S88,strain
rspc_1-step,1777036,F,0.29010668101988146,S89,strain
rspc_1-step,2064368,F,0.33114842140621237,S9,strain
rspc_1-step,1879418,F,0.29504197957865635,S90,strain
rspc_1-step,2003128,F,0.3054031093934957,S91,strain
rspc_1-step,2379806,F,0.4032535385417265,S92,strain
rspc_1-step,1491506,F,0.2601785848853858,S93,strain
rspc_1-step,2026627,F,0.3486563336210951,S94,strain
rspc_1-step,1584441,F,0.2554515421254392,S95,strain
rspc_1-step,2546020,F,0.4171075668714344,S96,strain
rspc_1-step,1973870,F,0.303061894412055,S97,strain
rspc_1-step,2033133,F,0.3395080344421979,S98,strain
rspc_1-step,1467676,F,0.230070486397685,S99,strain
rspc_1-step,2371175,G,0.38640291304457647,S0,strain
rspc_1-step,2880700,G,0.5527747635207417,S1,strain
rspc_1-step,3553476,G,0.5624309717562305,S10,strain
rspc_1-step,2467030,G,0.4029144717866941,S11,strain
rspc_1-step,2833220,G,0.4410594630576389,S12,strain
rspc_1-step,2526469,G,0.4085276524789759,S13,strain
rspc_1-step,3328781,G,0.527457815651744,S14,strain
rspc_1-step,3091587,G,0.5175057310703103,S15,strain
rspc_1-step,3586868,G,0.5597523702959837,S16,strain
rspc_1-step,2848226,G,0.490318948858868,S17,strain
rspc_1-step,2011432,G,0.3356989098721013,S18,strain
rspc_1-step,3432498,G,0.5682487416159464,S19,strain
rspc_1-step,3082490,G,0.5054227569691588,S2,strain
rspc_1-step,3322898,G,0.5290175764042322,S20,strain
rspc_1-step,1917245,G,0.2925204734350743,S21,strain
rspc_1-step,2378257,G,0.3927209167341634,S22,strain
rspc_1-step,3747592,G,0.6178561059583607,S23,strain
rspc_1-step,2912575,G,0.457924971731231,S24,strain
rspc_1-step,3235196,G,0.6136433773871605,S25,strain
rspc_1-step,3123566,G,0.52539354063022,S26,strain
rspc_1-step,3229473,G,0.5310431389211915,S27,strain
rspc_1-step,3765931,G,0.5874951717183441,S28,strain
rspc_1-step,2397605,G,0.38484639964070805,S29,strain
rspc_1-step,2806183,G,0.4332854887237317,S3,strain
rspc_1-step,2969763,G,0.4697917217041797,S30,strain
rspc_1-step,3596729,G,0.5601190712566565,S31,strain
rspc_1-step,3119574,G,0.4878445990261167,S32,strain
rspc_1-step,3417531,G,0.5225133558859315,S33,strain
rspc_1-step,3334064,G,0.5743015497231555,S34,strain
rspc_1-step,3288974,G,0.5325693248330992,S35,strain
rspc_1-step,2672333,G,0.4238010438606382,S36,strain
rspc_1-step,3413303,G,0.5484779841712346,S37,strain
rspc_1-step,3324761,G,0.5558730157668623,S38,strain
rspc_1-step,2755155,G,0.4292137775635551,S39,strain
rspc_1-step,3176661,G,0.5298961196021602,S4,strain
rspc_1-step,3127413,G,0.5016911995541682,S40,strain
rspc_1-step,2766285,G,0.45371962556733714,S41,strain
rspc_1-step,3453575,G,0.5591214140551021,S42,strain
rspc_1-step,2666046,G,0.41435225550763494,S43,strain
rspc_1-step,2907018,G,0.49606097263183546,S44,strain
rspc_1-step,1489248,G,0.23305386653980464,S45,strain
rspc_1-step,3815455,G,0.591991764305214,S46,strain
rspc_1-step,2678450,G,0.42858649264092774,S47,strain
rspc_1-step,3768126,G,0.5891757584797898,S48,strain
rspc_1-step,2389555,G,0.48195100247333295,S49,strain
rspc_1-step,2630750,G,0.42615150404793306,S5,strain
rspc_1-step,2785966,G,0.4324361493093277,S50,strain
rspc_1-step,3322762,G,0.5423274188262299,S51,strain
rspc_1-step,3074425,G,0.4969910655816279,S52,strain
rspc_1-step,3606126,G,0.5720859418837468,S53,strain
rspc_1-step,3336160,G,0.5430551605915827,S54,strain
rspc_1-step,3640949,G,0.5821657476761412,S55,strain
rspc_1-step,2805022,G,0.43673679675612204,S56,strain
rspc_1-step,3790758,G,0.6258447627598098,S57,strain
rspc_1-step,3593104,G,0.6064368889287205,S58,strain
rspc_1-step,2605208,G,0.4113860027495129,S59,strain
rspc_1-step,3719352,G,0.6147653691259637,S6,strain
rspc_1-step,2373145,G,0.38556665086367825,S60,strain
rspc_1-step,2019305,G,0.44443683897529535,S61,strain
rspc_1-step,2853674,G,0.5022752818184795,S62,strain
rspc_1-step,3825244,G,0.6069399673907594,S63,strain
rspc_1-step,2687408,G,0.43058499878630957,S64,strain
rspc_1-step,3022500,G,0.6006100886995286,S65,strain
rspc_1-step,3100145,G,0.4896765221830464,S66,strain
rspc_1-step,3411372,G,0.5369285840088279,S67,strain
rspc_1-step,3022093,G,0.4708775410166591,S68,strain
rspc_1-step,2182459,G,0.3728069104069659,S69,strain
rspc_1-step,2497122,G,0.4435008892673055,S7,strain
rspc_1-step,2480208,G,0.4030714065622323,S70,strain
rspc_1-step,3567300,G,0.5693649026830202,S71,strain
rspc_1-step,3203393,G,0.5890344183378138,S72,strain
rspc_1-step,3646545,G,0.5650717011586267,S73,strain
rspc_1-step,2397448,G,0.3775459907446864,S74,strain
rspc_1-step,2643712,G,0.42254183404092294,S75,strain
rspc_1-step,3596144,G,0.5601836007677137,S76,strain
rspc_1-step,3494597,G,0.5534038499179379,S77,strain
rspc_1-step,2676246,G,0.41631363891409373,S78,strain
rspc_1-step,3571490,G,0.5658236190633109,S79,strain
rspc_1-step,3364229,G,0.5737144784661106,S8,strain
rspc_1-step,2722537,G,0.41871714806821375,S80,strain
rspc_1-step,4319627,G,0.6816079510121411,S81,strain
rspc_1-step,3528677,G,0.5641151853117753,S82,strain
rspc_1-step,2837550,G,0.48864427926023574,S83,strain
rspc_1-step,2214155,G,0.3613959811467007,S84,strain
rspc_1-step,2169837,G,0.3722955926498868,S85,strain
rspc_1-step,3340009,G,0.5288418315928309,S86,strain
rspc_1-step,3309703,G,0.5376491318299141,S87,strain
rspc_1-step,2951472,G,0.46861191277877035,S88,strain
rspc_1-step,2985759,G,0.4874344885614249,S89,strain
rspc_1-step,2687072,G,0.43103732038320386,S9,strain
rspc_1-step,3086934,G,0.4846048713956448,S90,strain
rspc_1-step,2963004,G,0.4517487822772011,S91,strain
rspc_1-step,2124251,G,0.35995023649020175,S92,strain
rspc_1-step,3023535,G,0.5274260094504716,S93,strain
rspc_1-step,2442454,G,0.4201942719001465,S94,strain
rspc_1-step,3200434,G,0.515990056285269,S95,strain
rspc_1-step,2116576,G,0.34675291846037076,S96,strain
rspc_1-step,3089097,G,0.47429039847740523,S97,strain
rspc_1-step,2576673,G,0.43027248371369775,S98,strain
rspc_1-step,3549327,G,0.5563866883933757,S99,strain
rspc_1-step,12,K,1.955500946380979e-06,S0,strain
rspc_1-step,12,K,2.30266850496369e-06,S1,strain
rspc_1-step,14,K,2.2158679570615437e-06,S10,strain
rspc_1-step,4,K,6.532785929424353e-07,S11,strain
rspc_1-step,13,K,2.02376554582747e-06,S12,strain
rspc_1-step,5,K,8.084952803279516e-07,S13,strain
rspc_1-step,14,K,2.2183524296504988e-06,S14,strain
rspc_1-step,6,K,1.0043496710336348e-06,S15,strain
rspc_1-step,10,K,1.5605602723489787e-06,S16,strain
rspc_1-step,8,K,1.3771911326105949e-06,S17,strain
rspc_1-step,4,K,6.675819214810171e-07,S18,strain
rspc_1-step,5,K,8.27748103008285e-07,S19,strain
rspc_1-step,15,K,2.459486114971138e-06,S2,strain
rspc_1-step,3,K,4.776110278475886e-07,S20,strain
rspc_1-step,1,K,1.5257334009741807e-07,S21,strain
rspc_1-step,2,K,3.302594435623765e-07,S22,strain
rspc_1-step,16,K,2.637879922716713e-06,S23,strain
rspc_1-step,2,K,3.1444681886731225e-07,S24,strain
rspc_1-step,2,K,3.793546835413746e-07,S25,strain
rspc_1-step,2,K,3.36406236096961e-07,S26,strain
rspc_1-step,3,K,4.933094089232437e-07,S27,strain
rspc_1-step,6,K,9.360158298997153e-07,S28,strain
rspc_1-step,1,K,1.6051284496016152e-07,S29,strain
rspc_1-step,8,K,1.235230884724857e-06,S3,strain
rspc_1-step,6,K,9.4914992550755e-07,S30,strain
rspc_1-step,4,K,6.229205161207937e-07,S31,strain
rspc_1-step,9,K,1.4074362048263803e-06,S32,strain
rspc_1-step,10,K,1.5289206034588464e-06,S33,strain
rspc_1-step,5,K,8.612635356177258e-07,S34,strain
rspc_1-step,8,K,1.2954053752522196e-06,S35,strain
rspc_1-step,8,K,1.2687072871850573e-06,S36,strain
rspc_1-step,4,K,6.427533496689097e-07,S37,strain
rspc_1-step,8,K,1.3375349765396366e-06,S38,strain
rspc_1-step,4,K,6.231428396058372e-07,S39,strain
rspc_1-step,5,K,8.340457474092454e-07,S4,strain
rspc_1-step,6,K,9.625038961355628e-07,S40,strain
rspc_1-step,6,K,9.841060315202601e-07,S41,strain
rspc_1-step,13,K,2.104653404867804e-06,S42,strain
rspc_1-step,70,K,1.0879278859229902e-05,S43,strain
rspc_1-step,3,K,5.11927658478725e-07,S44,strain
rspc_1-step,6,K,9.389458298677103e-07,S45,strain
rspc_1-step,5,K,7.757813475787476e-07,S46,strain
rspc_1-step,4,K,6.400515113456331e-07,S47,strain
rspc_1-step,32,K,5.003448470500528e-06,S48,strain
rspc_1-step,2,K,4.0338138479619254e-07,S49,strain
rspc_1-step,10,K,1.6198859794656773e-06,S5,strain
rspc_1-step,2,K,3.1043892804817266e-07,S50,strain
rspc_1-step,4,K,6.528633935578052e-07,S51,strain
rspc_1-step,6,K,9.699200317099188e-07,S52,strain
rspc_1-step,3,K,4.759284133863433e-07,S53,strain
rspc_1-step,6,K,9.766710719957964e-07,S54,strain
rspc_1-step,0,K,0.0,S55,strain
rspc_1-step,5,K,7.784908581040042e-07,S56,strain
rspc_1-step,5,K,8.254876237942515e-07,S57,strain
rspc_1-step,5,K,8.438899749752867e-07,S58,strain
rspc_1-step,4,K,6.316363265420849e-07,S59,strain
rspc_1-step,10,K,1.652882999850414e-06,S6,strain
rspc_1-step,4,K,6.498830048120587e-07,S60,strain
rspc_1-step,3,K,6.602818875434301e-07,S61,strain
rspc_1-step,7,K,1.232070297002866e-06,S62,strain
rspc_1-step,5,K,7.93334970776713e-07,S63,strain
rspc_1-step,3,K,4.806694764467951e-07,S64,strain
rspc_1-step,3,K,5.961390458556116e-07,S65,strain
rspc_1-step,17,K,2.6851972656478293e-06,S66,strain
rspc_1-step,4,K,6.295749440504617e-07,S67,strain
rspc_1-step,3,K,4.674351924477431e-07,S68,strain
rspc_1-step,14,K,2.3914752788929927e-06,S69,strain
rspc_1-step,7,K,1.2432337005845684e-06,S7,strain
rspc_1-step,9,K,1.4626364639820896e-06,S70,strain
rspc_1-step,5,K,7.980333903554792e-07,S71,strain
rspc_1-step,4,K,7.355131491363236e-07,S72,strain
rspc_1-step,17,K,2.63433439589986e-06,S73,strain
rspc_1-step,5,K,7.873914069141154e-07,S74,strain
rspc_1-step,8,K,1.2786319660868444e-06,S75,strain
rspc_1-step,16,K,2.4923745023234384e-06,S76,strain
rspc_1-step,7,K,1.1085189363539102e-06,S77,strain
rspc_1-step,2,K,3.111176169261673e-07,S78,strain
rspc_1-step,6,K,9.505673302682818e-07,S79,strain
rspc_1-step,4,K,6.821348706834292e-07,S8,strain
rspc_1-step,7,K,1.0765767504638123e-06,S80,strain
rspc_1-step,14,K,2.209105395945061e-06,S81,strain
rspc_1-step,4,K,6.394636690315098e-07,S82,strain
rspc_1-step,5,K,8.610320157534417e-07,S83,strain
rspc_1-step,4,K,6.52882894190697e-07,S84,strain
rspc_1-step,3,K,5.147330319971779e-07,S85,strain
rspc_1-step,18,K,2.8500381192598453e-06,S86,strain
rspc_1-step,4,K,6.497853515314384e-07,S87,strain
rspc_1-step,8,K,1.2701781694795556e-06,S88,strain
