classifier,In taxon,Group,ratio,dataset
rspc_R100,26553134,S,0.7966134573683598,Assorted_Genomes_mbarc_225
rspc_R100,510051,U,0.015301903366442141,Assorted_Genomes_mbarc_225
rspc_R10,2788842,F,0.08366730148215616,Assorted_Genomes_mbarc_225
rspc_R10,5425910,G,0.16278127186303346,Assorted_Genomes_mbarc_225
rspc_R10,205357,H,0.00616086032499193,Assorted_Genomes_mbarc_225
rspc_R10,24569776,S,0.7371112655148786,Assorted_Genomes_mbarc_225
rspc_R10,342635,U,0.010279300814939885,Assorted_Genomes_mbarc_225
rspc_R1,3303901,F,0.09911944851454375,Assorted_Genomes_mbarc_225
rspc_R1,13772861,G,0.4131959119802523,Assorted_Genomes_mbarc_225
rspc_R1,319764,H,0.00959315407295938,Assorted_Genomes_mbarc_225
rspc_R1,15777561,S,0.47333837945645874,Assorted_Genomes_mbarc_225
rspc_R1,158433,U,0.0047531059757858094,Assorted_Genomes_mbarc_225
rspc_1-step,3630885,F,0.10892920787267209,Assorted_Genomes_mbarc_225
rspc_1-step,15419952,G,0.4626098476802834,Assorted_Genomes_mbarc_225
rspc_1-step,2234022,H,0.06702229534400639,Assorted_Genomes_mbarc_225
rspc_1-step,11934889,S,0.35805540655191986,Assorted_Genomes_mbarc_225
rspc_1-step,112772,U,0.0033832425511182472,Assorted_Genomes_mbarc_225
std_R100,2662787,F,0.07988555920764466,Assorted_Genomes_mbarc_225
std_R100,3459242,G,0.10377979222693033,Assorted_Genomes_mbarc_225
std_R100,164147,H,0.004924530158535868,Assorted_Genomes_mbarc_225
std_R100,26716552,S,0.8015161169932546,Assorted_Genomes_mbarc_225
std_R100,329792,U,0.009894001413634492,Assorted_Genomes_mbarc_225
std_R10,2774286,F,0.08323061082690418,Assorted_Genomes_mbarc_225
std_R10,5553029,G,0.16659493491641197,Assorted_Genomes_mbarc_225
std_R10,163449,H,0.004903589647587401,Assorted_Genomes_mbarc_225
std_R10,24650648,S,0.739537484714627,Assorted_Genomes_mbarc_225
std_R10,191108,U,0.005733379894469425,Assorted_Genomes_mbarc_225
std_R1,3147979,F,0.0944416743768548,Assorted_Genomes_mbarc_225
std_R1,9823570,G,0.2947142910287011,Assorted_Genomes_mbarc_225
std_R1,224941,H,0.006748394660829724,Assorted_Genomes_mbarc_225
std_R1,20001534,S,0.6000606614801401,Assorted_Genomes_mbarc_225
std_R1,134496,U,0.004034978453474265,Assorted_Genomes_mbarc_225
std_1-step,3297804,F,0.09893653405143085,Assorted_Genomes_mbarc_225
std_1-step,13108918,G,0.3932771359621175,Assorted_Genomes_mbarc_225
std_1-step,766009,H,0.022980830732269867,Assorted_Genomes_mbarc_225
std_1-step,16031329,S,0.48095160521916736,Assorted_Genomes_mbarc_225
std_1-step,128460,U,0.0038538940350144545,Assorted_Genomes_mbarc_225
